,credit_card_number,Account Balance,Email,Address,Zip Code,Balance (1k),first_name,last_name
0,2524 2317 2139 4751,21511,unhideable1966@gmail.com,67 John Maher Extension,31353,21.511,Altha,Frederick
1,4756 0997 9568 1329,13850,allgood1803@outlook.com,1200 Madera Plaza,1922,13.85,Nickolas,Harvey
2,3717 863466 48574,21254,satsumas1954@yahoo.com,943 Gibb Highway,41535,21.254,Jesusita,Kinney
3,5413 1700 6989 2835,5221,antifowl1875@gmail.com,1073 Fell Trace,16098,5.221,Mose,Gordon
4,5173 4883 9215 4743,8300,acetaminol1979@yahoo.com,805 Marshall Promenade,99895,8.3,Cesar,Valentine
5,2409 0669 5036 3311,6863,commanding1927@gmail.com,239 Mckinley Line,13494,6.863,Erich,Wooten
6,3469 558618 10693,17492,breeds1855@gmail.com,1109 Teresita Point,41281,17.492,Elias,Ayers
7,3723 385818 86151,24022,pronounal1891@yahoo.com,641 Lexington Run,92696,24.022,Boris,Macdonald
8,2290 4873 9990 0632,23237,blacklegging1855@yahoo.com,222 Moulton Brae,70027,23.237,Emilio,Bird
9,3736 301018 61659,7716,octachord1995@yahoo.com,1245 Whiting Parkway,30788,7.716,Vincenza,Patel
10,4194 4559 1314 2000,7392,clarified1907@gmail.com,1362 Fulton Trace,73193,7.392,Norberto,Pollard
11,4699 9501 3316 8645,2807,pachytene1885@live.com,347 Deming Thruway,97440,2.807,Kristeen,Hutchinson
12,5176 9940 4840 8539,8857,barb2038@yandex.com,1102 Lagunitas Run,69054,8.857,Jestine,Mcdowell
13,3497 877229 27268,15761,double2010@yandex.com,446 Bartol Bay,73992,15.761,Emerson,Hatfield
14,4244 6172 4853 1393,5057,occidentalism1859@yahoo.com,1329 Argonaut Esplanade,24929,5.057,Marcos,Gilmore
15,3703 456661 72094,21045,siamese1936@outlook.com,925 Eastwood Stravenue,9986,21.045,Malik,Velez
16,4891 5856 8926 8179,7078,nonswimming1985@yahoo.com,814 Tompkins Plaza,20396,7.078,Estell,Mcknight
17,5208 9153 9009 0544,12993,dockyards2058@yahoo.com,570 Peek Trace,15667,12.993,Lilla,Navarro
18,4819 6292 6429 1302,15658,paucity1995@yahoo.com,585 Dock Field,76244,15.658,Kallie,Mcfarland
19,3497 195524 75118,15901,pouncing1910@live.com,571 Roscoe Gate,52510,15.901,Isiah,Alexander
20,3408 704958 51110,13265,heft1945@live.com,1156 Fenton Close,17749,13.265,Ronny,Bowen
21,5476 2170 9722 0523,12801,charmian1906@yandex.com,1060 Candlestick Cove Path,26597,12.801,Chauncey,Robles
22,3750 913352 55002,18096,curate1853@gmail.com,1072 Franklin Gate,63820,18.096,Travis,Dalton
23,4482 7479 4361 7998,20469,concentrate1983@live.com,197 Alana Plantation,25141,20.469,Lane,Holden
